Time,Power Setpoint,Left RPM,Left Count,Right RPM,Right Count
0,50,0,0,0,0
0.10016942024230957,50,0.0,0,0.0,0
0.20001912117004395,50,10.01505253104107,2,5.007526265520535,1
0.30005908012390137,50,25.00906108208278,5,20.001534816562245,4
0.40013742446899414,50,39.99731862986615,8,39.98587821360674,8
0.5001621246337891,50,54.97609258249506,13,49.974647838288185,11
0.6001377105712891,50,59.98696803633735,17,59.986744293351485,16
0.700106143951416,50,65.00502580606086,21,60.00871621381387,20
0.8000478744506836,50,65.02577519085979,26,65.024081018387,24
0.9000468254089355,50,65.02110099652639,30,65.01823827547025,29
1.0000014305114746,50,65.02386878177687,34,65.02100606072075,33
1.1000406742095947,50,60.001447252611364,38,65.001499705249,37
1.2001547813415527,50,59.97844202686364,42,59.97844202686364,41
1.3000428676605225,50,59.991766737721385,46,59.991766737721385,45
1.4000914096832275,50,64.98748278070353,51,59.989908704246425,49
1.5000176429748535,50,65.02504242866395,55,60.02746835220685,53
1.600093126296997,50,69.98377801809877,60,64.98620394164168,58
1.700169563293457,50,64.98063191282512,64,64.98063191282512,62
1.8000636100769043,50,64.98708079935454,68,69.99238407917774,67
1.9001085758209229,50,59.99694828951965,72,65.00225156934285,71
2.000086545944214,50,60.016630958694414,76,65.0219342385176,75
2.1000864505767822,50,59.995436912906165,80,59.995436912906165,79
2.200032949447632,50,65.01780846173632,85,65.01780846173632,84
2.3001549243927,50,69.98294492868773,90,64.98903624606012,88
2.4000508785247803,50,70.00375670240298,94,65.00984801977536,92
2.5000998973846436,50,64.98057529172782,98,64.98421686694273,97
2.6000733375549316,50,60.01634525575613,102,65.01389551359863,101
2.7000789642333984,50,64.99410781806398,107,64.99193939400097,105
2.8001365661621094,50,64.9923930330959,111,64.98979591279085,110
2.900117874145508,50,69.99175353372198,116,64.98822163785847,114
3.000012159347534,50,65.01432545867966,120,65.01051224472168,118
3.1001482009887695,50,64.99866784840002,124,64.99094023187212,123
3.2000653743743896,50,60.01057302535333,128,65.0037801843839,127
3.30000376701355,50,65.00481902559457,133,64.99494391767983,131
3.4001693725585938,50,69.99065745284628,138,64.98757518590095,136
3.5000874996185303,50,69.99046640345504,142,64.98738413650973,140
3.6000287532806396,50,64.98681124262826,146,69.98975028610319,145
3.7001163959503174,50,60.01063099434152,150,65.01357003781645,149
3.800072431564331,50,60.003039733619055,154,65.005978777094,153
3.9001455307006836,50,64.97302212458253,159,59.97667441160987,157
4.000087022781372,50,70.0051708522747,164,65.00882313930205,162
4.100029706954956,50,70.00784384690172,168,65.01149613392907,166
4.200066089630127,50,65.01883139343956,172,70.01701292128985,171
4.300156116485596,50,59.986206674655854,176,64.98438820250612,175
4.400099992752075,50,64.98877574788266,181,64.98414951323575,179
4.500009536743164,50,70.01868411295341,186,60.01134945516187,183
4.600103139877319,50,70.01797016883323,190,65.0059597310106,188
4.700024843215942,50,65.01960295896443,194,65.01040028363894,192
4.800130367279053,50,59.975885917050185,198,69.96593949565847,197
4.900104761123657,50,59.99971157993998,202,64.99444093857939,201
5.000142812728882,75,64.97453069445159,207,64.97116190966526,205
5.100044012069702,75,70.02033785274962,212,65.02223970932391,210
5.2000346183776855,75,80.01803368233847,218,75.01993553891275,216
5.30005407333374,75,85.02170761365852,224,85.02170761365852,222
5.400142192840576,75,89.97057044338506,230,89.97057044338506,228
5.500023365020752,75,90.00344282752594,236,95.0093912869418,235
5.600085496902466,75,89.99065018848417,242,94.99659864790003,241
5.700054883956909,75,90.02624946188723,248,95.03219792130308,247
5.800166130065918,75,94.95166583404513,255,89.95722195852328,253
5.9000303745269775,75,100.01787285443568,262,90.01663197465705,259
6.000036001205444,75,100.00699824988361,268,95.00547605201048,266
6.1000330448150635,75,95.0467780645664,274,95.03969974221513,272
6.200112342834473,75,89.97542847852647,280,99.97118540105824,279
6.300151824951172,75,89.9652764267505,286,94.96131466737677,285
6.400087833404541,75,94.98680086612596,293,94.97963748065062,291
6.5000011920928955,75,100.04092217773689,300,90.03338472943979,297
6.600026369094849,75,100.0452109386594,306,90.0376734903623,303
6.700068712234497,75,95.01010199060146,312,95.00364990751484,310
6.800028324127197,75,89.9918725629978,318,94.98975630210667,316
6.900007724761963,75,90.00560484525225,324,100.00451876483349,323
7.000124931335449,75,89.98318160244885,330,94.98421178292124,329
7.100053071975708,75,94.99622913677665,337,94.99366376552148,335
7.200001955032349,75,100.0079481340921,344,90.00179542805752,341
7.300151824951172,75,99.99817524873724,350,89.99202254270263,347
7.400035381317139,75,95.00798020163575,356,90.00542304732865,353
7.500064849853516,75,89.98124216498947,362,94.97976917224003,360
7.600020408630371,75,90.03947415313907,368,95.03800116038963,366
7.700056791305542,75,89.9935895052496,374,94.99211651250016,372
7.800137519836426,75,94.97419526737269,381,94.97419526737269,379
7.900066614151001,75,99.9856915717694,388,94.98214377190635,385
8.000052690505981,75,100.0007800798583,394,94.99723227999526,391
8.10012412071228,75,95.00759850823947,400,95.00048174737766,398
8.200028419494629,75,90.01150177698291,406,95.00793281598418,404
8.300150394439697,75,89.97077619755798,412,94.96720723655926,410
8.400004863739014,75,95.0431999439716,419,95.0431999439716,417
8.5001220703125,75,99.97348780001168,426,94.9793412680367,423
8.600139379501343,75,100.00484384626175,432,95.01069731428679,429
8.700041055679321,75,94.9833600437136,438,94.9941345413841,436
8.80010724067688,75,90.00449195329095,444,95.00941298293647,442
8.900105953216553,75,90.01007005434617,450,95.01499108399167,448
9.000084638595581,75,94.98800558424796,457,94.98800558424796,455
9.10007095336914,75,100.01263843568854,464,95.01195408071099,461
