Time,Left Power,Left RPM,Left Count,Right Power,Right RPM,Right Count
0,50,0,0,49.5,0,0
0.10010385513305664,50,0.0,0,49.5,0.0,0
0.20011091232299805,50,9.999294330806274,2,49.5,9.999294330806274,2
0.3000912666320801,50,40.00518919616869,8,49.5,35.004206718608295,7
0.40010905265808105,50,60.00163262354143,12,49.5,59.999761002824215,12
0.5000600814819336,50,80.01703684363265,18,49.5,75.01271546443252,17
0.6000757217407227,50,75.00723252502156,23,49.5,75.00389362338184,22
0.7000448703765869,50,80.01850431893378,28,49.5,75.01605456045087,27
0.800133466720581,50,79.97725039193041,34,49.5,74.98167628794806,32
0.9001045227050781,50,84.98984556382571,40,49.5,74.99282384006891,37
1.00001859664917,50,79.9993303329958,44,49.5,80.01090860446654,43
1.100022554397583,50,80.02469843156722,50,49.5,80.03204868660939,48
1.2001397609710693,50,74.98674537279551,55,49.5,79.99554324761213,53
1.3000872135162354,50,79.98268915276579,60,49.5,74.98288703235487,58
1.4000725746154785,50,79.98826874351369,66,49.5,74.98753669131145,63
1.5000295639038086,50,80.02829338834954,71,49.5,75.0275613361473,68
1.60007905960083,50,80.00278181519901,76,49.5,75.00204976299678,73
1.7000279426574707,50,80.01373242782812,82,49.5,75.01117527352102,78
1.8000504970550537,50,79.99733779518692,87,49.5,74.99478064087984,83
1.9000072479248047,50,80.02052255871585,92,49.5,80.02012879656951,89
2.000110387802124,50,79.97426955029876,98,49.5,79.9815846228886,94
2.1000494956970215,50,79.99513917977386,103,49.5,80.0024542523637,99
2.200007200241089,50,79.99490055710964,108,49.5,75.00005223753874,104
2.3001019954681396,50,79.9973990044431,114,49.5,75.00213427698328,109
2.4000256061553955,50,80.00127863055464,119,49.5,75.00601390309481,114
2.5001370906829834,50,79.96286019791599,124,49.5,74.96759547045616,119
2.6000778675079346,50,80.00904931406036,130,49.5,80.00904931406036,125
2.700089693069458,50,79.9869813455917,135,49.5,74.98757255375419,129
2.8001084327697754,50,80.01013739278794,140,49.5,80.00979179148983,135
2.900139093399048,50,79.98316454246104,146,49.5,74.98435150273353,140
3.0001461505889893,50,79.98435641028915,151,49.5,79.98495216239917,145
3.1000053882598877,50,80.02428064477573,156,49.5,75.02581320634634,150
3.2001540660858154,50,79.98893888325902,162,49.5,74.99636173841576,155
3.3000388145446777,50,80.01954918713818,167,49.5,75.0269720422949,160
3.400104522705078,50,79.96789274667248,172,49.5,74.9753156018292,165
3.5000133514404297,50,80.03980621636157,178,49.5,75.03524349323676,170
3.600149631500244,50,79.97693643796028,183,49.5,74.97237371483548,175
3.7000832557678223,50,80.00995764600816,188,49.5,80.00871591383653,181
3.8001489639282227,50,79.9628818033209,194,49.5,74.97276929558689,185
3.900070905685425,50,80.01643525614968,199,49.5,80.03022870948011,191
4.000018835067749,50,80.01285473770724,204,49.5,75.02332720008452,196
4.100162029266357,50,79.98965740784058,210,49.5,80.0007128412059,201
4.2001330852508545,50,79.97736570139045,215,49.5,79.98596279346576,207
4.300047397613525,50,79.98578154606956,220,49.5,74.99009058194436,211
4.400121688842773,50,80.00640755636883,226,49.5,80.00356711994276,217
4.500030755996704,50,80.02192335978492,231,49.5,75.01763530358441,222
4.600069522857666,50,79.99079511925972,236,49.5,79.99079511925972,227
4.700079917907715,50,80.00994775188845,242,49.5,75.01046745036798,232
4.800025939941406,50,80.00069562916336,247,49.5,75.00121532764287,237
4.9001123905181885,50,79.98878961260733,252,49.5,74.98930931108686,242
5.0000810623168945,50,80.00130920916396,258,49.5,74.99974230821738,247
