Time,RPM Setpoint,Left RPM,Right RPM,Left Power,Right Power
0,100,0,0,0,0
0.10007643699645996,100,0.0,0.0,100,100
0.20006895065307617,100,15.001123035581868,15.001123035581868,100,100
0.30001330375671387,100,50.020610293362815,50.020610293362815,100,100
0.40009641647338867,100,79.99569718432211,79.99569718432211,100,100
0.5001616477966309,100,104.96849862885004,104.96849862885004,75.19910571990256,75.20389644349028
0.6000423431396484,100,104.99081787812277,104.99081787812277,73.5308349945215,73.53547384312697
0.7000653743743896,100,105.00882320768802,105.00882320768802,71.8730513545131,71.87784262601885
0.8000073432922363,100,95.0523181609099,95.0523181609099,87.06845940492984,87.07323137357476
0.9000976085662842,100,94.97894729959035,94.97894729959035,88.81336109471039,88.81817224157442
1.0000784397125244,100,94.99160683773994,94.99160683773994,90.43473024527158,90.43952966830378
1.100128412246704,100,104.95420837476381,104.95420837476381,75.22700302845044,75.23176379483576
1.2000296115875244,100,105.02038715902758,100.01544224045647,73.49546036620114,81.96139651400694
1.3000595569610596,100,105.00565447766375,104.99921273864432,71.87699404485949,73.52890984142444
1.400101900100708,100,95.01293594196152,95.00649420294208,87.13617562746836,88.79018484139968
1.5001003742218018,100,94.97885557772997,99.97735875728169,88.82593483126311,82.01914306591075
1.6001057624816895,100,94.98622010954871,99.9859507110702,90.45697930979817,82.01202534582659
1.7001378536224365,100,104.98608533664031,99.98902402272559,75.18852829037573,82.01142758578517
1.8001258373260498,100,99.98915659301615,99.99269616612513,82.00607130424831,82.00881097947679
1.9000883102416992,100,105.00391239424742,100.00772136583491,73.53064864040329,81.98579592421123
2.000004529953003,100,95.04189989417848,105.04669330814818,88.73620473257357,73.46455968543899
2.100069522857666,100,100.01556183007351,100.02300189158562,81.94884200158073,80.30751485535441
2.2000906467437744,100,94.99608659225366,95.00352665376575,90.43149709984812,88.78771122849022
2.300095319747925,100,99.96929595555088,94.97254349011699,83.6598962434109,90.47524214329177
2.4000513553619385,100,100.00742300061968,100.00742300061968,83.60547659862674,83.60706914234432
2.500109910964966,100,99.9962024274273,104.99327636065198,83.62202093216018,75.17310488395196
2.600025177001953,100,100.02751994027551,100.02035358238284,83.57031651028556,81.94770780098482
2.70011568069458,100,99.98047798704202,99.97331162914935,83.64085925026366,82.0205979291611
2.800126075744629,100,99.9949161968168,99.99015620721995,83.62283479307487,82.00085010498476
2.900053024291992,100,99.99082085887422,99.98664591755487,83.6314212901374,82.01000420213973
3.000117301940918,100,99.99998578324517,99.99581084192579,83.61892832168654,81.9988784433554
3.100044012069702,100,100.02510706152147,95.02145181868163,83.57645986659871,90.41054719418516
3.200063467025757,100,99.99271245149946,99.99271245149946,83.623019456449,83.63394046987713
3.3000659942626953,100,100.01431066668117,100.01431066668117,83.58888370206189,83.5998046931574
3.4000518321990967,100,99.99655680013895,104.99726500361511,83.61422023664232,75.16960663486756
3.50004243850708,100,100.00665281136206,100.00689128611252,83.59827592652118,81.97240668283582
3.6000289916992188,100,100.01224433763167,100.01248281238213,83.5866444859249,81.96069721749492
3.7001447677612305,100,99.97330246395843,99.96705062643002,83.6484945113233,82.03344614003075
3.800114631652832,100,99.98056518042381,99.97327581197176,83.64494957379557,82.03370102560709
3.9000661373138428,100,99.9928394183219,99.98555004986987,83.63055422508799,82.021690051878
4.000117778778076,100,100.0120476282612,100.00795962813238,83.60041620241935,81.98852515329624
4.100025653839111,100,100.03377027125946,100.02657903641659,83.55975161355893,81.95444355840952
4.200148820877075,100,99.97373358448091,99.96654234963808,83.65022644608867,82.04727448241808
4.300036191940308,100,100.02304480713057,100.024072109396,83.5754510386393,81.96095621438509
4.400168180465698,100,99.94463625572645,99.95686477962103,83.70051513798538,82.06673855741198
4.500128269195557,100,100.00166621087084,100.01389473476542,83.62220192699613,81.98442489477314
4.600130558013916,100,99.96715280130606,99.97362909027318,83.68001570061953,82.04796310427763
4.7001049518585205,100,105.0235329776974,100.02085726801602,75.14135842433588,81.9767369881805
4.800021171569824,100,100.03471361741458,100.03623043467921,81.93294209887404,81.94392571455383
4.900134086608887,100,100.00156394176543,99.99755581308854,81.97763378860587,81.99746465384636
5.000063896179199,100,95.01590276217455,100.0109439183175,90.40631962715311,81.97562887806492
5.100096702575684,100,99.97926912740246,99.97011775659941,83.644881112495,82.04108630991173
5.200049638748169,100,100.02723122923855,100.02607354207485,83.57057186815044,81.95625557252721
5.300121784210205,100,99.97741461583945,99.98337358773277,83.64590012132841,82.01992774267936
5.400014400482178,100,100.02651779655885,100.03247676845217,83.57027198558913,81.94235143683238
5.5000810623168945,100,99.99240677226857,99.99268057344682,83.61927363684748,81.99901590679232
5.600048542022705,100,100.02902528539163,100.02406787040945,83.5598432056233,81.94834087003366
5.700052976608276,100,99.98984854164478,99.9848911266626,83.61658842535032,82.00670857314199
5.800025463104248,100,100.01809009235244,95.01646354868616,83.57215831373367,90.4124066899574
5.900157451629639,100,99.96056919582803,99.96056919582803,83.66351752858286,83.68336607253438
6.000160455703735,100,99.96106983760244,99.96106983760244,83.67557566427736,83.6954241778525
6.100138425827026,100,99.95942393407013,104.96052567061679,83.69109858712076,75.25459150658989
6.200052499771118,100,100.03565900822709,100.03246074715997,83.57548155817395,81.96406600429161
6.30013632774353,100,100.0073951865832,100.00419692551607,83.61160106338139,82.0012330261311
6.400057077407837,100,100.0245787248025,95.02027872718872,83.5801311642259,90.4259982241193
6.500164270401001,100,99.95700136701821,99.95700136701821,83.68636920263455,83.70819060993085
6.6001081466674805,100,100.00597092049141,100.00597092049141,83.61763957666548,83.63946098396178
6.700007200241089,100,100.01249149234376,105.01754391390234,83.60466402628062,75.16512064832727
6.800122499465942,100,100.00966061323693,100.02047135673763,83.60535896260076,81.97260294572087
6.9000794887542725,100,100.00506650235188,100.01587724585256,83.60996642624356,81.97367427001669
7.00001072883606,100,99.99539414200272,95.00115246394483,83.6246625486282,90.44704653136759
7.100152492523193,100,99.98615534482671,99.98615534482671,83.6417990227297,83.65385359571877
7.2000651359558105,100,100.00169664926266,94.99732500197251,83.62005163629647,92.09230844603198
