Time,Power,Left RPM,Left Count,Right RPM,Right Count
0,50,0,0,0,0
1.000089168548584,50,24.99777098504343,50,24.99777098504343,50
2.0000698566436768,50,51.99829241654576,104,51.49828276040682,103
3.0001049041748047,50,77.99738121267188,156,77.49737155653294,155
4.000118732452393,50,79.99923686929647,210,78.99923412720072,208
5.000054836273193,50,79.00037684461087,262,79.00041570878516,261
0,60,79.00037684461087,0,79.00041570878516,0
1.0001308917999268,60,-50.98510098588665,54,-50.485127559047136,54
2.000039577484131,60,-48.982079270563695,112,-47.48206709643993,113
3.0001602172851562,60,-45.987238809596185,170,-45.4871982729791,170
4.00013279914856,60,86.999945372538,228,87.50006505593403,229
5.000103950500488,60,87.49814807521705,287,86.99820767254546,287
0,70,87.49814807521705,0,86.99820767254546,0
1.0000150203704834,70,-53.496671536341175,63,-52.49668727178203,65
2.0000035762786865,70,-49.49708902475268,129,-48.99711846963773,131
3.0001323223114014,70,-45.502252521309515,196,-44.50226754145439,198
4.000096321105957,70,99.99727130626731,263,100.4972893075181,266
5.000078439712524,70,99.99748374345108,329,100.99751068555845,333
0,80,99.99748374345108,0,100.99751068555845,0
1.0001537799835205,80,-62.97829237377804,70,-62.478188553501205,73
2.000128746032715,80,-59.47857217821265,144,-58.47846132460911,149
3.000009298324585,80,-54.974682450588084,219,-53.97452080685232,225
4.000012159347534,80,112.0052988154742,294,114.00538215053314,301
5.000049591064453,80,112.00298761441995,368,114.5029897694276,378
