Time,Power,Left RPM,Right RPM
0,60.0,55.008893787621474,50.00096095639831
0.10007166862487793,60.0,-854.3358541901157,-859.3437870213388
0.20015645027160645,60.0,-854.3442358259539,-864.3479331657599
0.300159215927124,60.0,-854.3765202666526,-859.3722847752356
0.40010666847229004,60.0,59.9930199348658,59.99988418036793
0.5000975131988525,60.0,60.011793122874934,65.01442187696
0.6001191139221191,60.0,60.008027027008815,65.01065578109387
0.7001452445983887,60.0,64.99098104818583,64.99098104818583
0.8000016212463379,60.0,70.02510730719764,65.01791581092711
0.900007963180542,60.0,70.02815821246435,65.0209667161938
1.0000064373016357,60.0,65.034994355385,65.02787915422394
1.100038766860962,60.0,59.99257305189226,69.99103339146673
1.2001042366027832,60.0,64.97748463154937,69.97921631647354
1.300048828125,60.0,69.99103925006085,64.98992268008567
1.4000284671783447,60.0,70.00157609083708,60.002075476396904
1.5000643730163574,60.0,65.01075422751602,65.00618762020872
1.6001574993133545,60.0,59.978286498043815,64.97649185052641
1.7000725269317627,60.0,64.99547464092085,69.99367999340345
1.800114393234253,60.0,69.99219103550232,64.99428347459995
1.9000320434570312,60.0,70.02728249561933,65.02937493471696
2.0000758171081543,60.0,64.99727043446974,64.99717514865829
2.1000540256500244,60.0,65.01318168191824,70.01099395700915
2.200038194656372,60.0,64.99986485237457,69.99767712746548
2.30005145072937,60.0,70.00530217301184,65.00596488881165
2.4000985622406006,60.0,64.99043525570409,64.98874350516705
2.500114679336548,60.0,64.98404565590192,64.98235390536489
2.6001436710357666,60.0,64.98011341078383,69.97775894444699
2.700058937072754,60.0,70.01073273171794,65.00649244060061
2.8000075817108154,60.0,70.0242319813139,65.01999169019656
2.9000260829925537,60.0,65.02777823355162,65.02261304946443
3.0000545978546143,60.0,64.9994500946137,69.99852520164384
3.1000232696533203,60.0,64.99544134855567,69.99451645558581
3.2000415325164795,60.0,69.99457603832349,64.99548901474581
3.3000922203063965,60.0,64.99157029959211,64.9899501704938
3.4000673294067383,60.0,64.99028211515972,64.98866198606139
3.500030994415283,60.0,65.00393404691381,70.00140094139317
3.6001205444335938,60.0,69.99169899449628,64.9961724893963
3.700087547302246,60.0,69.99332117975203,69.99944507580447
3.8001534938812256,60.0,64.97105350648401,64.97717740253647
3.9000086784362793,60.0,65.02967734703854,70.03132774819096
4.0001256465911865,60.0,64.99970944257723,64.99970944257723
4.100067615509033,60.0,70.0274062606458,65.0245030217572
4.20003867149353,60.0,64.99694037368916,64.995484754575
4.300132513046265,60.0,65.00155595895565,65.00010033984148
4.400027751922607,60.0,60.00801396204906,70.0147051312076
4.500024795532227,60.0,65.00296260239777,65.0080583278926
4.600096225738525,60.0,70.00386851198924,65.0125331984828
4.700167417526245,60.0,69.96866608623885,64.96853016629483
4.800132751464844,60.0,64.97486258337777,69.97660839146938
4.900161027908325,60.0,64.98564027582918,69.9852305454305
5.000118732452393,60.0,70.0104468421826,65.0114785012095
